id,x,y
4735,4008.483470855312,721.8728381218456
4733,254.0669428062428,2177.986643359702
4730,570.6069148214432,1077.7488263970108
4725,2847.7394860673758,4794.597765150052
4724,5006.761423370069,1875.3602552611196
4723,228.7383614573413,2911.656811595186
4721,5086.6510671855,2447.524731133711
4720,4597.015044271137,1501.5455047594255
4719,3753.6298409483015,513.9611690863672
4716,2764.6891390795686,4771.071619343412
4715,2905.44915661936,4950.981982115995
4713,1548.8671753567812,4539.050707559138
4712,1392.1164801718837,341.88805710240507
4711,3632.539071111558,522.6597158356673
4709,3806.9767487070067,4645.823103586011
4708,1137.1886437081967,4448.895299817943
4706,2963.1345856952653,124.81526786568513
4703,4443.475702830363,1131.6677585354148
4700,596.3995057931902,804.879541196706
4698,544.1590856034885,3994.4069238462107
4697,1541.4787941361758,203.20124044428425
4696,4859.721720236118,2583.647796956812
4695,4134.261790457823,926.0882447848687
4694,1270.7635795824322,219.3622618036574
4693,2432.231299957709,-32.33637880294881
4690,-14.898745561868513,2539.0802523120046
4689,4736.672570348824,1868.9457638520737
4688,3033.7009883147707,52.73580267395914
4687,1032.211371306896,354.3800658559262
4686,4851.554779134456,3317.705769647446
4685,162.43908581129244,2783.2108089233343
4684,80.83403610429482,2492.846357117022
4683,2813.819259282792,4883.637843078789
4682,1401.3425290449377,4643.595118080371
4681,4912.400714204116,2611.257995716758
4680,130.33450826871095,3319.502964171653
4679,363.8045398727884,1154.274275484417
4678,3569.150368193779,4550.06403304988
4677,2769.6450622083566,49.12953593880623
4674,3646.4139310578535,323.462369144875
4673,1247.2000353092753,1684.5907426217168
4672,210.698735637951,2579.330284337119
4671,1852.3125944581518,190.78495721086514
4668,998.6846179823813,2763.7914771380683
4667,292.0483725873139,3690.7207098033073
4666,3988.8839628494807,4262.483493893641
4665,345.8683027323973,3382.7150827137134
4659,158.80653498226388,2034.3037108429905
4658,3987.2711388319703,4435.078801678151
4657,3645.994578304846,4771.0836564450465
4656,4325.4968496951415,3630.921548033673
4655,1853.3122323875077,1227.8259359609929
4654,2292.992396955611,668.0197507202139
4653,3522.180336633966,979.0742565656054
4652,1967.7471792274275,2593.0103871626743
4651,1757.3785767113714,3788.686125230518
4650,1104.2231338458616,2824.1562049756785
4649,577.0172501311484,2756.0184718808173
4648,811.7335881930527,2451.2858177478265
4647,2217.2950631931217,2136.783234303208
4646,3660.673626985714,1111.0938056392572
4645,4399.804059889152,2525.446858234578
4644,2995.622223235195,2976.5579027120384
4643,4784.598731765151,2124.622346965
4642,2626.057320877525,3869.237465751722
4641,3437.687797723036,4655.821436773161
4639,2530.797821432822,3509.275334224008
4638,2842.7859323473704,3293.587148337108
4637,4544.807604197578,4032.9770394838433
4636,1443.5140764508656,4624.63991117418
4635,159.80239136854644,2949.198683710329
4634,3379.619384329469,1319.2239520536434
4633,1614.7282885604372,2815.671894606316
4632,508.2480271083739,2069.6242415194333
4631,4274.6198548840575,3619.6192547778824
4630,1420.2072820034496,4819.467550661415
4629,2132.871336139293,2213.3091656323245
4628,4790.793137134388,2916.4899071923855
4627,1962.6629113729182,262.76625221048494
4626,3552.6813672625385,1668.7023169115635
4624,371.2662392868501,3954.902085100749
4619,2716.6966848001284,4227.634842955403
4618,2810.4027509053412,3935.465157044053
4617,3881.5460725469216,3427.2947722995495
4616,4716.136991259044,3804.514245164363
4614,2541.795168128868,1372.377038990244
4612,1800.4094820039898,1520.8932106785062
